정류소명, 코드, 단축코드
종로2가사거리,100000001,1001
창경궁.서울대학교병원,100000002,1002
명륜3가.성대입구,100000003,1003
종로2가.삼일교,100000004,1004
혜화동로터리.여운형활동터,100000005,1005
경기상고,100000006,1101
신교동,100000007,1102
경기상고,100000008,1103
경복고교,100000009,1104
청운중학교,100000010,1105
자하문고개.윤동주문학관,100000011,1106
자하문고개.윤동주문학관,100000012,1107
청운중학교,100000013,1108
경복고교,100000014,1109
통인시장종로구보건소,100000015,1110
통인시장종로구보건소,100000016,1111
효자동,100000017,1112
사직단.어린이도서관,100000018,1113
사직동주민센터,100000019,1114
경복궁역,100000020,1115
경복궁역,100000021,1116
경복궁,100000022,1117
KT광화문지사,100000023,1118
광화문,100000025,1120
서울역사박물관.경교장.강북삼성병원,100000028,1123
광화문.금호아시아나본관앞,100000029,1124
광화문,100000030,1125
세종문화회관,100000031,1126
서울경찰청.경복궁역,100000032,1127
사직단,100000033,1128
광화문.광화문빌딩,100000034,1129
덕성여중고,100000035,1130
안국역.서울공예박물관,100000036,1131
국민은행세검정지점,100000037,1132
세검정초등학교,100000038,1133
세검정.상명대,100000039,1134
상명대입구.석파랑,100000040,1135
하림각,100000041,1136
자하문터널입구.석파정,100000042,1137
부암동주민센터.무계원,100000043,1138
부암동주민센터.무계원,100000044,1139
자하문터널입구.석파정,100000045,1140
하림각,100000046,1141
상명대입구.세검정교회,100000047,1142
세검정.상명대,100000048,1143
세검정초등학교,100000049,1144
국민은행세검정지점,100000051,1146
승가사입구,100000053,1148
구기동현대빌라,100000054,1149
구기터널.삼성출판박물관,100000055,1150
구기터널.삼성출판박물관,100000056,1151
구기동,100000057,1152
구기동,100000058,1153
승가사입구,100000059,1154
갑을씨티텔앞,100000060,1155
평창파출소,100000061,1156
평창동주민센터,100000062,1157
일성아파트,100000063,1158
롯데아파트,100000064,1159
롯데아파트,100000065,1160
벽산평창힐스아파트,100000066,1161
예능교회,100000067,1162
서울예술고등학교.평창동주민센터,100000068,1163
화정박물관,100000069,1164
독립문역.서대문형무소역사관,100000072,1167
서대문.서울시교육청,100000073,1168
독립문,100000075,1171
창덕궁.서울돈화문국악당,100000076,1172
서린동.SK서린빌딩,100000077,1173
청계1가.광교,100000078,1174
청계2가.수표교,100000079,1175
청계4가.세운교,100000080,1176
청계5가.광장시장,100000081,1177
원남동,100000102,1198
창덕궁.우리소리박물관,100000103,1199
안국역.인사동,100000104,1200
조계사.종로경찰서,100000105,1201
조계사.종로경찰서,100000106,1202
안국동,100000107,1203
종로5가.효제동.김상옥의거터,100000108,1204
종로5가.효제초등학교,100000109,1205
종로5가,100000116,1212
청계6가.동대문시장,100000117,1213
동대문,100000118,1214
충신동,100000119,1215
충신동,100000121,1217
현대그룹빌딩,100000122,1218
방송통신대.이화장,100000123,1219
혜화역.마로니에공원,100000124,1220
혜화역.서울대병원입구,100000125,1221
방송통신대.이화장,100000126,1222
이화동(이화장),100000127,1223
창경궁.서울대학교병원,100000128,1224
이화동(이화장),100000129,1225
혜화동로터리,100000130,1226
명륜동2가.성균관대입구,100000131,1227
혜화역.서울연극센터(장면총리가옥),100000132,1228
혜화역.동성중고(장면총리가옥),100000133,1229
종로구민회관.창신동두산아파트,100000135,1231
동묘역앞,100000139,1235
동묘역앞,100000140,1236
창신3동주민센터,100000142,1238
숭인1동주민센터.창신역4번출구,100000143,1239
동묘역.롯데캐슬천지인,100000144,1240
신설동로터리,100000147,1243
구기동현대빌라,100000150,1246
광장시장,100000151,1247
혜화경찰서,100000153,1249
서울역사박물관.김구집무실(경교장),100000154,1250
청계3가.관수교,100000155,1251
청계6가.버들다리,100000156,1252
청계7가.맑은내다리,100000157,1253
청계8가.영도교,100000158,1254
